9. July 2011 | 16:31:33 | - MinFPS = 0
9. July 2011 | 16:31:33 | - DisableBadWeapons = 1
9. July 2011 | 16:31:33 | - CBug = 12
9. July 2011 | 16:31:33 | - AntiBugKill = 1
9. July 2011 | 16:31:33 | - NoReload = 20
9. July 2011 | 16:31:33 | 1 IP-bans have been loaded.
9. July 2011 | 16:31:33 | 0 temporary bans have been loaded.
9. July 2011 | 16:31:33 | 5 whitelist entries have been loaded.
9. July 2011 | 16:31:33 | 4 blacklist entries have been loaded.
9. July 2011 | 16:31:33 | 41 bad words have been loaded.
9. July 2011 | 16:31:33 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:31:33 | JunkBuster has been configurated.
9. July 2011 | 16:31:33 | JunkBuster has successfully been loaded.
9. July 2011 | 16:37:35 | Current JunkBuster configuration:
9. July 2011 | 16:37:35 | - WeaponHack = 1
9. July 2011 | 16:37:35 | - MoneyHack = 1
9. July 2011 | 16:37:35 | - Jetpack = 1
9. July 2011 | 16:37:35 | - HealthHack = 1
9. July 2011 | 16:37:35 | - ArmourHack = 1
9. July 2011 | 16:37:35 | - DriveBy = 1
9. July 2011 | 16:37:35 | - Spam = 0
9. July 2011 | 16:37:35 | - CommandSpam = 0
9. July 2011 | 16:37:35 | - BadWords = 0
9. July 2011 | 16:37:35 | - CarJackHack = 1
9. July 2011 | 16:37:35 | - TeleportHack = 1
9. July 2011 | 16:37:35 | - MaxPing = 500
9. July 2011 | 16:37:35 | - SpectateHack = 0
9. July 2011 | 16:37:35 | - Blacklist = 1
9. July 2011 | 16:37:35 | - IpBans = 1
9. July 2011 | 16:37:35 | - TempBans = 1
9. July 2011 | 16:37:35 | - SpawnKill = 3
9. July 2011 | 16:37:35 | - CapsLock = 0
9. July 2011 | 16:37:35 | - 3DSpeed = 0
9. July 2011 | 16:37:35 | - MaxSpeed = 240
9. July 2011 | 16:37:35 | - AdminImmunity = 1
9. July 2011 | 16:37:35 | - Advertisement = 1
9. July 2011 | 16:37:35 | - FreezeUpdate = 0
9. July 2011 | 16:37:35 | - SpawnTime = 10
9. July 2011 | 16:37:35 | - CheckpointTeleport = 0
9. July 2011 | 16:37:35 | - Airbreak = 1
9. July 2011 | 16:37:35 | - TankMode = 1
9. July 2011 | 16:37:35 | - WarnPlayers = 0
9. July 2011 | 16:37:35 | - SingleplayerCheats = 1
9. July 2011 | 16:37:35 | - MinFPS = 0
9. July 2011 | 16:37:35 | - DisableBadWeapons = 1
9. July 2011 | 16:37:35 | - CBug = 12
9. July 2011 | 16:37:35 | - AntiBugKill = 1
9. July 2011 | 16:37:35 | - NoReload = 20
9. July 2011 | 16:37:35 | 1 IP-bans have been loaded.
9. July 2011 | 16:37:35 | 0 temporary bans have been loaded.
9. July 2011 | 16:37:35 | 5 whitelist entries have been loaded.
9. July 2011 | 16:37:35 | 4 blacklist entries have been loaded.
9. July 2011 | 16:37:35 | 41 bad words have been loaded.
9. July 2011 | 16:37:35 | 4 forbidden weapons have been loaded.
9. July 2011 | 16:37:35 | JunkBuster has been configurated.
